seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_641399	1051	No terminal repeats	2	11	0.9989	0.0011	2	3.2077	MOBQ	NA
k121_2081774	1571	No terminal repeats	1	11	0.9989	0.0011	1	1.7183	NA	NA
k121_951228	2441	No terminal repeats	3	11	0.9989	0.0011	1	3.4366	NA	NA
k121_2498182	1600	DTR	1	11	0.9988	0.0011	1	1.6987	NA	NA
k121_1843516	1860	No terminal repeats	2	11	0.9988	0.0011	1	1.8681	NA	NA
k121_2073632	5819	No terminal repeats	6	11	0.9988	0.0012	5	6.6168	T_virB9;T_virB8;virb4;T_virB3;T_virB2	NA
k121_1891035	1367	No terminal repeats	3	11	0.9988	0.0012	1	3.7249	MOBP1	NA
k121_2320054	2878	No terminal repeats	4	11	0.9988	0.0012	3	3.5305	T_virB8;T_virB9;T_virB10	NA
k121_2489480	1374	No terminal repeats	3	11	0.9988	0.0012	2	3.2703	T_virB6;T_virB8	NA
k121_1646344	4451	DTR	6	11	0.9988	0.0012	1	1.7183	NA	NA
k121_2045229	1698	No terminal repeats	2	11	0.9988	0.0012	1	1.7183	NA	NA
k121_1551773	1358	No terminal repeats	1	11	0.9987	0.0012	1	1.6920	MOBQ	NA
k121_1231206	1316	No terminal repeats	2	11	0.9986	0.0012	2	2.9050	T_virB2;T_virB1	NA
k121_2213410	7065	No terminal repeats	8	11	0.9986	0.0012	2	4.5842	T_virB11;T_virB2	NA
k121_1694693	1499	No terminal repeats	3	11	0.9986	0.0012	2	3.1823	MOBP1	NA
k121_1416649	1454	No terminal repeats	3	11	0.9985	0.0012	1	1.7183	NA	NA
k121_344339	2035	No terminal repeats	5	11	0.9985	0.0013	2	5.1352	T_virB3;T_virB2	NA
k121_2349364	8102	No terminal repeats	8	11	0.9985	0.0013	2	5.0636	MOBP1	NA
k121_2445698	1345	No terminal repeats	2	11	0.9985	0.0013	2	2.7797	T_virB6;T_virB5	NA
k121_2433496	1149	No terminal repeats	1	11	0.9984	0.0013	1	1.7183	MOBP1	NA
k121_1264239	1067	No terminal repeats	2	11	0.9981	0.0013	1	1.7183	T_virB3	NA
k121_844590	1010	No terminal repeats	3	11	0.9979	0.0014	1	1.7183	NA	NA
k121_1990275	1700	No terminal repeats	5	11	0.9978	0.0014	1	1.7183	T_virB3	NA
k121_577281	1171	No terminal repeats	3	11	0.9977	0.0014	1	1.7166	NA	NA
k121_702154	5214	No terminal repeats	5	11	0.9976	0.0015	4	4.6885	T_virB10;T_virB9;T_virB8	NA
k121_1740287	1332	No terminal repeats	4	11	0.9969	0.0015	2	3.4366	T_virB3;T_virB2	NA
k121_141928	1022	No terminal repeats	2	11	0.9968	0.0016	2	2.8469	NA	NA
k121_553554	2245	No terminal repeats	4	11	0.9966	0.0017	2	2.7581	T_virB6;T_virB5	NA
k121_175738	1117	No terminal repeats	2	11	0.9947	0.0018	2	2.7021	T_virB5;T_virB8	NA
k121_711165	1953	No terminal repeats	4	11	0.9946	0.0019	2	4.4475	T_virB5	NA
k121_771149	1282	No terminal repeats	2	11	0.9939	0.0021	1	1.7183	NA	NA
k121_742068	1649	No terminal repeats	3	11	0.9925	0.0022	1	1.5207	NA	NA
k121_1938976	1720	No terminal repeats	2	11	0.9905	0.0024	1	2.6731	MOBP1	NA
k121_1822403	1000	No terminal repeats	3	11	0.9898	0.0027	1	2.2753	NA	NA
k121_363285	1156	No terminal repeats	2	11	0.9768	0.0033	1	2.4985	NA	NA
k121_1755489	1557	No terminal repeats	4	11	0.9693	0.0040	1	2.5686	NA	NA
k121_1583008	1019	No terminal repeats	2	11	0.9686	0.0048	1	1.8571	MOBP1	NA
k121_542762	1665	No terminal repeats	2	11	0.9663	0.0055	2	2.3083	T_virB8;T_virB9	NA
k121_472026	1123	No terminal repeats	2	11	0.9656	0.0063	1	1.5023	NA	NA
k121_958199	1142	No terminal repeats	2	11	0.9603	0.0071	2	1.9831	T_virB9	NA
k121_2006312	1339	No terminal repeats	3	11	0.9531	0.0081	1	1.7138	NA	NA
k121_835287	1176	No terminal repeats	2	11	0.9445	0.0092	2	2.1659	T_virB8;T_virB6	NA
k121_631009	1276	No terminal repeats	2	11	0.9385	0.0104	2	2.1795	T_virB9;T_virB8	NA
k121_402419	1003	No terminal repeats	2	11	0.9139	0.0121	1	1.7894	NA	NA
k121_1854964	1010	No terminal repeats	3	11	0.9019	0.0140	1	1.6746	NA	NA
k121_2334814	1836	No terminal repeats	5	11	0.8926	0.0161	4	5.2489	F_traL;F_traE;F_traK	NA
k121_559387	6274	No terminal repeats	5	11	0.8908	0.0181	1	2.0479	F_traK	NF033135
k121_840749	1137	No terminal repeats	2	11	0.8753	0.0203	1	1.5023	NA	NA
k121_2431497	2972	No terminal repeats	2	11	0.8720	0.0225	1	1.5023	NA	NA
k121_772211	1345	No terminal repeats	2	11	0.8625	0.0248	1	1.5160	NA	NA
k121_1594088	1561	No terminal repeats	2	11	0.8315	0.0276	1	1.5023	NA	NA
k121_730856	2880	No terminal repeats	4	11	0.8309	0.0303	1	2.3960	NA	NA
