seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_235145	3248	No terminal repeats	4	11	0.9987	0.0013	1	3.0236	NA	NA
k121_1039269	1419	No terminal repeats	3	11	0.9986	0.0013	3	5.1548	T_virB6	NA
k121_280253	1902	No terminal repeats	5	11	0.9986	0.0014	2	6.4047	F_traW	NA
k121_618819	1635	No terminal repeats	3	11	0.9986	0.0014	2	4.8054	MOBP1	NA
k121_715633	3846	No terminal repeats	6	11	0.9986	0.0014	3	4.3677	MOBP1	NA
k121_1157552	4860	DTR	5	11	0.9986	0.0014	1	2.7515	MOBP1	NA
k121_1106510	7259	No terminal repeats	10	11	0.9986	0.0014	1	4.2092	NA	NA
k121_1157991	4904	DTR	7	11	0.9986	0.0014	2	2.9406	MOBP1	NA
k121_587326	6893	No terminal repeats	12	11	0.9986	0.0014	3	6.7390	MOBP1	NA
k121_961364	3681	No terminal repeats	5	11	0.9986	0.0014	1	3.3974	NA	NA
k121_124633	2222	No terminal repeats	6	11	0.9986	0.0014	1	1.7183	NA	NA
k121_906067	1767	No terminal repeats	1	11	0.9986	0.0014	1	1.7183	MOBF	NA
k121_61440	4315	No terminal repeats	6	11	0.9985	0.0014	1	4.8148	NA	NA
k121_689412	5832	No terminal repeats	7	11	0.9985	0.0014	6	7.3584	T_virB8;T_virB6;T_virB5;virb4;T_virB3;T_virB2	NA
k121_760142	5975	No terminal repeats	8	11	0.9984	0.0014	1	2.1859	NA	NA
k121_932103	1429	No terminal repeats	2	11	0.9982	0.0015	2	2.6187	T_virB9;T_virB8	NA
k121_668536	1627	No terminal repeats	3	11	0.9981	0.0015	1	1.6894	NA	NA
k121_971516	1618	No terminal repeats	4	11	0.9980	0.0015	2	2.4245	virb4;F_traV	NA
k121_81726	1002	No terminal repeats	4	11	0.9978	0.0015	1	1.7183	NA	NA
k121_470431	1202	No terminal repeats	1	11	0.9978	0.0016	1	1.5023	NA	NA
k121_619118	1136	No terminal repeats	2	11	0.9969	0.0016	1	2.7853	t4cp1	NA
k121_135955	2269	No terminal repeats	3	11	0.9961	0.0018	2	4.4564	MOBP1	NA
k121_437328	21909	No terminal repeats	25	11	0.9937	0.0019	11	12.3328	F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU	NA
k121_902671	1198	No terminal repeats	1	11	0.9932	0.0022	1	1.7183	NA	NA
k121_1146075	1212	No terminal repeats	3	11	0.9918	0.0024	1	1.5517	F_traV	NA
k121_844629	1758	No terminal repeats	4	11	0.9891	0.0027	1	1.7134	NA	NA
k121_1003069	1393	No terminal repeats	2	11	0.9891	0.0030	2	2.7689	MOBH	NA
k121_78374	1227	No terminal repeats	3	11	0.9886	0.0033	2	2.9506	F_traE;F_traL	NA
k121_682550	1202	No terminal repeats	2	11	0.9883	0.0036	2	3.0204	F_traE;F_traK	NA
k121_86093	1953	No terminal repeats	4	11	0.9867	0.0039	1	3.3221	T_virB1	NA
k121_366853	1151	No terminal repeats	4	11	0.9865	0.0042	2	2.8371	T_virB3	NA
k121_308632	2514	No terminal repeats	7	11	0.9848	0.0046	1	3.1144	NA	NA
k121_935455	2089	No terminal repeats	3	11	0.9843	0.0049	3	3.4544	F_traW;F_traU;F_traW	NA
k121_554929	1032	No terminal repeats	2	11	0.9800	0.0054	2	2.8357	F_traV	NA
k121_300361	6406	No terminal repeats	8	11	0.9760	0.0059	6	8.2768	F_traB;F_traK;F_traE;F_traL;t4cp1	NA
k121_276178	1421	No terminal repeats	2	11	0.9708	0.0066	1	2.3994	NA	NA
k121_1113230	32522	No terminal repeats	38	11	0.9607	0.0074	15	20.5118	F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE;F_traL;t4cp1;MOBH;F_traG;F_traH;F_traF	NF000496;NF033117
k121_936963	1092	No terminal repeats	2	11	0.9587	0.0083	2	3.0204	F_traE;F_traK	NA
k121_1051736	1065	No terminal repeats	3	11	0.9442	0.0095	1	2.2753	NA	NA
k121_985817	2822	No terminal repeats	4	11	0.9424	0.0107	2	2.7175	MOBH	NA
k121_1098458	7320	No terminal repeats	7	11	0.9352	0.0121	1	2.9722	NA	NA
k121_132114	10417	No terminal repeats	12	11	0.9351	0.0133	1	3.4770	NA	NA
k121_661900	10863	No terminal repeats	7	11	0.8908	0.0155	1	1.5023	NA	NA
k121_956459	1056	No terminal repeats	3	11	0.8890	0.0177	2	2.8357	F_traV	NA
k121_1044385	3073	No terminal repeats	4	11	0.8661	0.0203	2	3.4036	T_virB10	NA
k121_611611	3047	No terminal repeats	5	11	0.8577	0.0230	1	2.6592	NA	NA
k121_766324	5638	No terminal repeats	8	11	0.8496	0.0257	1	1.6439	NA	NA
k121_148555	1261	No terminal repeats	2	11	0.8479	0.0283	1	1.7183	MOBP1	NA
