seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_349793	1202	No terminal repeats	2	11	0.9988	0.0012	2	3.0347	MOBQ	NA
k121_553142	3048	No terminal repeats	3	11	0.9987	0.0013	1	1.7183	NA	NA
k121_1384940	2539	No terminal repeats	5	11	0.9987	0.0013	2	3.2373	MOBQ	NA
k121_1507558	4045	DTR	6	11	0.9987	0.0013	1	2.9421	NA	NA
k121_549973	1375	No terminal repeats	3	11	0.9987	0.0013	2	3.2261	MOBQ	NA
k121_1213201	1006	No terminal repeats	2	11	0.9986	0.0013	2	2.4974	F_traF;F_traN	NA
k121_512347	1976	No terminal repeats	3	11	0.9986	0.0013	1	1.7134	NA	NA
k121_1308771	1970	No terminal repeats	2	11	0.9986	0.0013	2	2.8253	MOBP1	NA
k121_706011	1005	No terminal repeats	3	11	0.9985	0.0014	1	1.6588	NA	NA
k121_1090943	1066	No terminal repeats	1	11	0.9985	0.0014	1	1.7183	NA	NA
k121_1244125	2746	No terminal repeats	3	11	0.9984	0.0014	3	3.6991	F_traH;F_traF;F_traN	NA
k121_468492	2585	No terminal repeats	4	11	0.9984	0.0014	1	2.5314	NA	NA
k121_209549	1267	No terminal repeats	1	11	0.9983	0.0014	1	1.6987	NA	NA
k121_1126793	1113	No terminal repeats	3	11	0.9980	0.0015	1	2.9356	F_traF	NA
k121_1264214	1096	No terminal repeats	1	11	0.9979	0.0015	1	1.7134	NA	NA
k121_1451813	11254	No terminal repeats	14	11	0.9973	0.0016	3	3.0625	MOBQ	NA
k121_1234522	1255	No terminal repeats	2	11	0.9959	0.0017	2	2.5188	T_virB5;virb4	NA
k121_1281975	2277	No terminal repeats	3	11	0.9893	0.0022	1	1.5023	NA	NA
k121_1021236	1420	No terminal repeats	2	11	0.9861	0.0028	2	2.5463	F_trbC;F_traU	NA
k121_26537	1794	No terminal repeats	3	11	0.9762	0.0039	2	2.1365	T_virB9;T_virB8	NA
k121_354602	2049	No terminal repeats	2	11	0.9655	0.0053	2	2.4931	F_traF	NA
k121_1341515	2694	No terminal repeats	6	11	0.9633	0.0068	1	3.5037	NA	NA
k121_132807	3429	No terminal repeats	8	11	0.9569	0.0084	1	1.7894	NA	NA
k121_1224261	1145	No terminal repeats	3	11	0.9420	0.0104	1	2.7416	NA	NA
k121_1312923	2138	No terminal repeats	3	11	0.9325	0.0127	1	1.5223	NA	NA
k121_783259	1448	No terminal repeats	2	11	0.9276	0.0150	2	2.4653	F_traU;F_traW	NA
k121_762030	1246	No terminal repeats	4	11	0.8914	0.0185	1	1.5438	NA	NA
k121_1315558	1007	No terminal repeats	2	11	0.8722	0.0224	2	2.1365	T_virB9;T_virB8	NA
k121_483714	1277	No terminal repeats	3	11	0.8502	0.0268	1	2.4746	NA	NA
