seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_405755	1512	No terminal repeats	3	11	0.9987	0.0013	2	5.1269	MOBQ	NA
k121_29911	2279	No terminal repeats	2	11	0.9987	0.0013	2	3.2077	MOBQ	NA
k121_290010	4126	DTR	4	11	0.9987	0.0013	3	4.9182	MOBQ;MOBQ	NA
k121_101897	5098	DTR	8	11	0.9987	0.0013	1	7.5554	NA	NA
k121_413094	1944	No terminal repeats	2	11	0.9987	0.0013	2	2.4228	MOBV	NA
k121_384549	1900	DTR	3	11	0.9987	0.0013	2	3.4267	NA	NA
k121_587669	2019	DTR	3	11	0.9987	0.0013	2	3.4267	NA	NA
k121_450390	4900	No terminal repeats	7	11	0.9987	0.0013	2	4.9816	NA	NA
k121_198536	4269	DTR	9	11	0.9987	0.0013	1	8.0511	NA	NA
k121_450657	5451	No terminal repeats	8	11	0.9987	0.0013	2	5.4247	MOBP1	NA
k121_304415	1034	No terminal repeats	2	11	0.9987	0.0013	1	3.2077	MOBQ	NA
k121_281260	2273	No terminal repeats	2	11	0.9987	0.0013	1	1.7183	NA	NA
k121_485255	2378	No terminal repeats	4	11	0.9987	0.0013	1	3.3991	MOBQ	NA
k121_141605	1900	No terminal repeats	2	11	0.9987	0.0013	1	1.7183	NA	NA
k121_587660	1734	DTR	2	11	0.9987	0.0013	2	3.4267	NA	NA
k121_521764	4818	No terminal repeats	8	11	0.9987	0.0013	2	3.8184	NA	NA
k121_162524	2809	No terminal repeats	5	11	0.9986	0.0013	1	3.4366	NA	NA
k121_183085	4098	No terminal repeats	5	11	0.9986	0.0013	2	4.2087	MOBP1;T_virB5	NA
k121_587048	4279	DTR	5	11	0.9986	0.0013	1	2.5912	NA	NA
k121_587342	2974	DTR	3	11	0.9986	0.0013	1	2.2163	NA	NA
k121_343325	5166	No terminal repeats	10	11	0.9986	0.0013	2	5.6654	MOBP1	NA
k121_144256	1701	No terminal repeats	4	11	0.9986	0.0013	1	3.2127	T_virB5	NA
k121_397876	5339	No terminal repeats	8	11	0.9986	0.0013	2	3.2373	MOBQ	NA
k121_145734	3223	No terminal repeats	4	11	0.9986	0.0013	1	1.7183	NA	NA
k121_332697	3391	DTR	3	11	0.9986	0.0013	1	1.8313	NA	NA
k121_113684	1763	No terminal repeats	2	11	0.9985	0.0013	1	1.6920	MOBQ	NA
k121_236543	3438	No terminal repeats	5	11	0.9985	0.0013	1	2.4329	MOBV	NA
k121_44887	3405	No terminal repeats	3	11	0.9985	0.0014	2	2.7776	t4cp1;MOBH	NA
k121_343590	1210	No terminal repeats	2	11	0.9985	0.0014	1	1.7183	MOBC	NA
k121_298098	1108	No terminal repeats	2	11	0.9983	0.0014	1	2.6796	G_tfc3	NA
k121_179618	5683	No terminal repeats	7	11	0.9982	0.0014	1	3.6055	NA	NA
k121_464115	1272	No terminal repeats	2	11	0.9971	0.0014	1	1.6588	NA	NA
k121_311333	6695	DTR	9	11	0.9968	0.0015	1	2.5621	MOBQ	NA
k121_373672	1006	No terminal repeats	2	11	0.9968	0.0015	1	1.6805	NA	NA
k121_315690	2126	No terminal repeats	4	11	0.9967	0.0016	3	5.4221	T_virB5;T_virB10	NA
k121_512608	1942	No terminal repeats	3	11	0.9495	0.0029	2	2.4931	F_traF	NA
k121_336122	1311	No terminal repeats	2	11	0.9327	0.0047	1	1.5023	NA	NA
k121_480898	1367	No terminal repeats	3	11	0.8777	0.0078	2	2.6952	T_virB9	NA
k121_287068	1003	No terminal repeats	3	11	0.8577	0.0112	2	2.4245	F_traV;virb4	NA
k121_130127	1044	No terminal repeats	4	11	0.8382	0.0150	1	2.2753	NA	NA
k121_375785	1292	No terminal repeats	2	11	0.8118	0.0192	1	2.1047	NA	NA
k121_122733	1951	No terminal repeats	3	11	0.8039	0.0234	1	1.7183	NA	NA
