seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_611336	1322	No terminal repeats	2	11	0.9987	0.0013	2	3.2261	MOBQ	NA
k121_202305	2119	No terminal repeats	2	11	0.9987	0.0013	1	2.5391	t4cp1;MOBB	NA
k121_873602	1615	No terminal repeats	2	11	0.9987	0.0013	1	3.2077	MOBQ	NA
k121_749484	4149	No terminal repeats	6	11	0.9986	0.0013	2	2.3329	NA	NA
k121_527280	1650	No terminal repeats	3	11	0.9985	0.0014	1	1.6987	NA	NA
k121_447805	5041	No terminal repeats	8	11	0.9985	0.0014	1	2.1731	NA	NA
k121_426442	2006	No terminal repeats	2	11	0.9974	0.0016	1	1.7134	NA	NA
k121_165704	7796	No terminal repeats	10	11	0.9964	0.0018	1	1.7183	NA	NA
k121_152584	12677	No terminal repeats	13	11	0.9942	0.0023	6	8.7147	F_traF;F_traN;F_traU;F_traW;F_traB	NA
k121_271140	1545	No terminal repeats	4	11	0.9897	0.0031	2	2.8371	T_virB3	NA
