seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1309256	2246	No terminal repeats	5	11	0.9991	0.0009	1	3.5383	NA	NA
k121_768710	2607	No terminal repeats	4	11	0.9991	0.0009	1	2.5287	MOBV	NA
k121_653291	2822	No terminal repeats	5	11	0.9990	0.0009	4	6.4097	F_traK;F_traE;F_traL	NA
k121_467566	1177	No terminal repeats	3	11	0.9990	0.0009	1	1.7183	NA	NA
k121_1368497	3534	DTR	4	11	0.9990	0.0009	1	1.8469	MOBV	NA
k121_369460	12402	No terminal repeats	8	11	0.9990	0.0010	2	4.2636	NA	NA
k121_426237	7949	No terminal repeats	9	11	0.9989	0.0010	6	11.7141	F_traV;F_traW;F_traU	NA
k121_1024428	4001	No terminal repeats	5	11	0.9989	0.0010	4	5.0391	F_trbC;F_traN;F_traF;F_traH	NA
k121_973807	1144	No terminal repeats	2	11	0.9989	0.0010	2	2.9056	MOBP1	NA
k121_958785	7517	No terminal repeats	9	11	0.9984	0.0011	1	2.3459	MOBQ	NA
k121_518775	1511	No terminal repeats	3	11	0.9983	0.0011	1	1.7406	NA	NA
k121_848748	11708	No terminal repeats	7	11	0.9981	0.0012	1	1.5242	MOBQ	NA
k121_575341	1207	No terminal repeats	2	11	0.9978	0.0013	1	1.7183	NA	NA
k121_927554	1115	No terminal repeats	3	11	0.9964	0.0014	1	3.2865	NA	NA
k121_1150606	1131	No terminal repeats	5	11	0.9958	0.0016	1	1.6189	NA	NA
k121_1121016	1346	No terminal repeats	2	11	0.9950	0.0018	2	2.6841	F_traK	NA
k121_648540	1761	No terminal repeats	1	11	0.9923	0.0022	1	1.6297	NA	NA
k121_129595	1689	No terminal repeats	2	11	0.9915	0.0025	2	2.4668	F_traG;F_traH	NA
k121_279610	1168	No terminal repeats	2	11	0.9907	0.0029	1	1.5314	NA	NA
k121_515406	1953	No terminal repeats	1	11	0.9901	0.0032	1	1.5595	NA	NA
k121_420077	1329	No terminal repeats	1	11	0.9893	0.0036	1	1.5023	NA	NA
k121_143514	1313	No terminal repeats	2	11	0.9892	0.0039	1	1.6645	MOBP1	NA
k121_1296788	13163	No terminal repeats	11	11	0.9805	0.0046	1	1.9139	NA	NA
k121_426322	1203	No terminal repeats	2	11	0.9800	0.0052	2	2.4653	F_traW;F_traU	NA
k121_981625	8380	No terminal repeats	7	11	0.9721	0.0061	1	2.1433	F_traG	NA
k121_1251026	3607	No terminal repeats	7	11	0.9394	0.0082	1	2.6041	NA	NA
k121_506976	4100	No terminal repeats	4	11	0.9360	0.0103	1	1.5314	NA	NA
k121_172340	1314	No terminal repeats	4	11	0.9123	0.0131	1	2.2753	NA	NA
k121_73109	1127	No terminal repeats	2	11	0.9019	0.0160	1	1.5023	NA	NA
