seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_421829	3998	No terminal repeats	6	11	0.9987	0.0013	1	4.1627	NA	NA
k121_180364	2249	No terminal repeats	3	11	0.9987	0.0013	1	1.7032	NA	NA
k121_39146	1563	No terminal repeats	3	11	0.9987	0.0013	1	1.7183	NA	NA
k121_697968	4812	DTR	8	11	0.9986	0.0014	1	3.1684	NA	NA
k121_956931	3604	DTR	7	11	0.9986	0.0014	1	2.7821	NA	NA
k121_797203	3480	No terminal repeats	5	11	0.9986	0.0014	1	2.7821	NA	NA
k121_956714	4265	DTR	5	11	0.9986	0.0014	1	2.2469	MOBV	NA
k121_161274	2430	No terminal repeats	5	11	0.9984	0.0014	1	2.7821	NA	NA
k121_38459	1048	No terminal repeats	2	11	0.9974	0.0015	1	1.7183	MOBC	NA
k121_828273	1594	No terminal repeats	3	11	0.9967	0.0017	1	1.6924	NA	NA
k121_161432	2853	No terminal repeats	5	11	0.9946	0.0020	1	1.7166	NA	NA
k121_677506	1067	No terminal repeats	2	11	0.9936	0.0024	2	3.0941	T_virB6;T_virB5	NA
k121_697979	3025	No terminal repeats	5	11	0.9823	0.0036	1	2.1806	NA	NA
k121_729748	4509	No terminal repeats	6	11	0.9624	0.0060	1	4.5571	NA	NA
