seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_178032	1209	No terminal repeats	2	11	0.9986	0.0014	2	2.8738	MOBP1	NA
k121_1033276	2758	No terminal repeats	4	11	0.9986	0.0014	3	4.9300	F_traK;F_traE	NA
k121_96008	13044	No terminal repeats	15	11	0.9986	0.0014	9	13.1274	F_traG;F_traH;F_traF;F_trbC;F_trbC;F_traU;F_traW	NA
k121_277307	1499	No terminal repeats	3	11	0.9986	0.0014	1	1.7183	NA	NA
k121_1182523	1044	No terminal repeats	3	11	0.9985	0.0014	3	4.9288	F_traE;F_traL	NA
k121_385093	1091	No terminal repeats	3	11	0.9985	0.0014	2	2.8371	T_virB3	NA
k121_193990	1296	No terminal repeats	2	11	0.9984	0.0015	2	2.5200	T_virB5;virb4	NA
k121_638594	1630	No terminal repeats	2	11	0.9981	0.0015	2	2.5091	F_traG;F_traH	NA
k121_509137	1318	No terminal repeats	3	11	0.9981	0.0016	1	2.2176	F_traV	NA
k121_81920	3010	No terminal repeats	3	11	0.9980	0.0016	1	4.5647	NA	NA
k121_133998	1603	No terminal repeats	3	11	0.9973	0.0017	2	2.1795	T_virB8;T_virB9	NA
k121_363264	2215	No terminal repeats	3	11	0.9965	0.0019	1	2.3719	NA	NA
k121_1248307	1058	No terminal repeats	2	11	0.9957	0.0020	1	1.5453	NA	NA
k121_893991	1337	No terminal repeats	2	11	0.9858	0.0029	2	2.0054	T_virB10;T_virB9	NA
k121_768676	1849	No terminal repeats	4	11	0.9633	0.0052	1	3.2617	NA	NA
k121_633436	2191	No terminal repeats	4	11	0.9613	0.0073	1	1.5606	NA	NA
k121_295760	1179	No terminal repeats	3	11	0.9340	0.0107	1	1.5023	NA	NA
k121_688512	1056	No terminal repeats	2	11	0.9103	0.0151	1	1.7894	NA	NA
k121_1042838	1366	No terminal repeats	3	11	0.8748	0.0209	1	2.2753	NA	NA
k121_1119115	1458	No terminal repeats	3	11	0.8536	0.0272	1	1.7894	NA	NA
k121_724309	1262	No terminal repeats	4	11	0.8450	0.0333	1	1.7894	NA	NA
