seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_89561	2730	No terminal repeats	3	4	0.9991	0.0009	2	4.6878	MOBQ	NA
k121_1009895	1143	No terminal repeats	2	11	0.9991	0.0009	1	2.6204	NA	NA
k121_427676	7459	No terminal repeats	9	11	0.9991	0.0009	3	6.9949	MOBQ	NA
k121_857453	5150	DTR	8	11	0.9991	0.0009	3	5.3898	MOBQ	NA
k121_793790	5581	No terminal repeats	10	11	0.9991	0.0009	1	8.5211	NA	NA
k121_387495	4646	No terminal repeats	6	11	0.9991	0.0009	3	4.9012	F_traV;virb4	NA
k121_71603	4773	No terminal repeats	5	11	0.9990	0.0009	1	4.5166	MOBP1	NA
k121_589686	2785	No terminal repeats	4	11	0.9990	0.0009	2	4.6878	MOBQ	NA
k121_589396	2787	No terminal repeats	4	11	0.9990	0.0009	2	4.6878	MOBQ	NA
k121_401113	5307	No terminal repeats	6	11	0.9990	0.0009	2	3.3668	MOBP1	NA
k121_672143	11500	DTR	10	11	0.9990	0.0009	4	5.8383	MOBP1	NA
k121_533547	1689	No terminal repeats	4	11	0.9990	0.0009	1	3.6680	NA	NA
k121_426903	17032	No terminal repeats	17	11	0.9990	0.0009	2	3.8155	MOBQ	NA
k121_85620	2670	No terminal repeats	3	11	0.9990	0.0009	2	2.9699	MOBP1	NA
k121_828351	4310	DTR	6	11	0.9990	0.0009	1	2.8415	NA	NA
k121_750337	8523	No terminal repeats	13	11	0.9990	0.0010	4	6.4116	MOBP1;T_virB6;T_virB5	NA
k121_466968	2173	DTR	3	11	0.9990	0.0010	2	1.8586	NA	NA
k121_492597	47212	No terminal repeats	40	11	0.9989	0.0010	11	21.5022	MOBP1;T_virB5;T_virB10;T_virB9;T_virB8;virb4;T_virB2;T_virB11	NA
k121_1078702	4883	No terminal repeats	3	11	0.9989	0.0010	3	3.6934	F_traF;F_traH;F_traG	NA
k121_579162	1005	No terminal repeats	2	11	0.9988	0.0010	1	2.9530	NA	NA
k121_281749	2715	No terminal repeats	4	11	0.9988	0.0010	1	2.1806	NA	NA
k121_927892	1691	No terminal repeats	4	11	0.9987	0.0010	1	1.7183	MOBC	NA
k121_710964	2835	No terminal repeats	5	11	0.9987	0.0010	1	1.5301	NA	NA
k121_849383	1296	No terminal repeats	2	11	0.9987	0.0010	1	2.9530	NA	NA
k121_54007	1193	No terminal repeats	3	11	0.9985	0.0010	1	2.8619	F_trbC	NA
k121_840550	1556	No terminal repeats	4	11	0.9984	0.0011	2	2.9056	MOBP1	NA
k121_537598	1476	No terminal repeats	4	11	0.9983	0.0011	1	2.5686	NA	NA
k121_81187	2041	No terminal repeats	5	11	0.9983	0.0011	1	2.7416	NA	NA
k121_1116933	3301	No terminal repeats	5	11	0.9982	0.0011	3	6.6178	T_virB10;T_virB5	NA
k121_257889	1574	No terminal repeats	2	11	0.9976	0.0012	1	2.9530	NA	NA
k121_275153	1875	No terminal repeats	3	11	0.9975	0.0012	2	2.3303	F_traU;F_traW	NA
k121_272935	5470	No terminal repeats	8	11	0.9974	0.0013	5	7.5265	F_traV;F_traB;F_traK;F_traE;F_traL	NA
k121_808667	6668	No terminal repeats	8	11	0.9969	0.0013	2	5.3998	MOBP1	NA
k121_441617	2698	No terminal repeats	4	11	0.9961	0.0014	3	3.7140	T_virB8;T_virB9	NA
k121_115378	2280	No terminal repeats	3	11	0.9952	0.0015	3	3.7661	F_trbC;F_traU;F_traW	NA
k121_220880	1265	No terminal repeats	3	11	0.9938	0.0016	1	2.9530	NA	NA
k121_253529	3508	No terminal repeats	7	11	0.9909	0.0018	5	6.5539	F_traB;F_traK;F_traE;F_traL	NA
k121_985301	1287	No terminal repeats	3	11	0.9886	0.0021	1	1.5606	NA	NA
k121_1034952	1850	No terminal repeats	4	11	0.9875	0.0023	2	2.6480	T_virB6;T_virB5	NA
k121_82311	1080	No terminal repeats	2	11	0.9849	0.0027	1	2.2753	NA	NA
k121_384297	2172	No terminal repeats	3	11	0.9804	0.0031	2	2.6158	t4cp1	NA
k121_351329	3901	No terminal repeats	4	11	0.9756	0.0036	3	4.1561	virb4	NA
k121_273870	1477	No terminal repeats	2	11	0.9731	0.0041	2	2.6158	t4cp1	NA
k121_609248	1303	No terminal repeats	3	11	0.9728	0.0047	2	2.5159	virb4	NA
k121_892143	1813	No terminal repeats	3	11	0.9721	0.0052	2	2.3303	F_traU;F_traW	NA
k121_1057415	5668	No terminal repeats	3	11	0.9703	0.0057	3	3.8423	F_traG;F_traH;F_traF	NA
k121_183263	3019	No terminal repeats	4	11	0.9699	0.0062	2	2.7175	MOBH	NA
k121_394657	1243	No terminal repeats	3	11	0.9622	0.0069	1	2.2753	NA	NA
k121_1000747	1045	No terminal repeats	2	11	0.9572	0.0076	2	2.2417	T_virB3;virb4	NA
k121_869784	2903	No terminal repeats	4	11	0.9325	0.0088	1	2.1694	T_virB1	NA
k121_19072	1218	No terminal repeats	2	11	0.9200	0.0102	1	1.5489	NA	NA
k121_13919	1802	No terminal repeats	4	11	0.8965	0.0120	1	1.7894	NA	NA
k121_418470	2349	No terminal repeats	4	11	0.8324	0.0149	1	2.1694	T_virB1	NA
k121_1023719	1623	No terminal repeats	3	11	0.8220	0.0180	2	1.9957	T_virB8;T_virB9	NA
k121_1148001	1111	No terminal repeats	3	4	0.8089	0.0211	1	2.2753	NA	NA
