seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_31469	1332	No terminal repeats	3	11	0.9988	0.0012	1	4.1134	NA	NA
k121_548239	1859	No terminal repeats	2	11	0.9988	0.0012	1	2.6198	NA	NA
k121_407307	1878	No terminal repeats	3	11	0.9988	0.0012	1	3.4366	NA	NA
k121_499072	6942	No terminal repeats	6	11	0.9987	0.0012	4	6.9671	MOBP1;T_virB10;T_virB9;T_virB8	NA
k121_605170	4463	DTR	4	11	0.9987	0.0012	1	2.9477	MOBV	NA
k121_414245	5395	No terminal repeats	10	11	0.9987	0.0012	1	6.0590	NA	NA
k121_154292	1843	No terminal repeats	2	11	0.9987	0.0013	1	1.6483	NA	NA
k121_321430	5926	No terminal repeats	6	11	0.9987	0.0013	2	3.6971	T_virB2;T_virB11	NA
k121_126644	9043	No terminal repeats	13	11	0.9987	0.0013	6	12.1181	T_virB2;T_virB3;virb4;T_virB6;T_virB8	NA
k121_554719	1084	No terminal repeats	2	11	0.9987	0.0013	1	1.7183	NA	NA
k121_40458	1870	No terminal repeats	3	11	0.9987	0.0013	1	3.2077	MOBQ	NA
k121_235651	4440	No terminal repeats	7	11	0.9987	0.0013	1	1.9733	NA	NA
k121_222812	1705	No terminal repeats	2	11	0.9987	0.0013	1	1.7183	NA	NA
k121_192410	4775	No terminal repeats	7	11	0.9987	0.0013	1	3.3907	MOBC	NA
k121_44984	1426	No terminal repeats	2	11	0.9987	0.0013	2	3.4366	MOBP1	NA
k121_209109	2171	No terminal repeats	3	11	0.9986	0.0013	2	2.1114	NA	NA
k121_291613	2451	No terminal repeats	5	11	0.9986	0.0013	1	2.5284	NA	NA
k121_72752	21747	No terminal repeats	23	11	0.9986	0.0013	2	6.7463	MOBQ	NA
k121_473816	1367	No terminal repeats	1	11	0.9986	0.0013	1	1.7183	NA	NA
k121_232180	3176	No terminal repeats	6	11	0.9986	0.0013	2	4.2592	T_virB3	NA
k121_473758	2866	No terminal repeats	6	11	0.9986	0.0013	1	2.0157	NA	NA
