seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_138573	7827	No terminal repeats	15	11	0.9987	0.0013	1	3.4768	NA	NA
k121_2760920	3497	No terminal repeats	4	11	0.9987	0.0013	1	2.7017	NA	NA
k121_1050170	2723	No terminal repeats	4	11	0.9986	0.0013	1	3.0480	NA	NA
k121_533516	1179	No terminal repeats	3	11	0.9984	0.0014	1	2.9354	F_traF	NA
k121_2695394	5833	No terminal repeats	8	11	0.9981	0.0015	1	3.2103	NA	NA
k121_1088213	3218	No terminal repeats	5	11	0.9981	0.0016	3	5.2899	F_traH;F_traF;F_trbC	NA
k121_685508	1314	No terminal repeats	3	11	0.9979	0.0016	2	2.5626	T_virB8;T_virB9	NA
k121_1683642	2248	No terminal repeats	4	11	0.9976	0.0017	4	5.4282	F_traB;F_traK;F_traE;F_traL	NA
k121_2069993	2043	No terminal repeats	2	11	0.9969	0.0019	2	2.4284	F_traF;F_traH	NA
k121_163248	1344	No terminal repeats	2	11	0.9931	0.0024	2	2.5400	NA	NA
k121_2257647	1714	No terminal repeats	2	11	0.9910	0.0030	2	2.4245	F_traV;virb4	NA
k121_2377390	1203	No terminal repeats	2	11	0.9900	0.0036	2	2.4284	F_traH;F_traF	NA
k121_16152	1047	No terminal repeats	2	11	0.9900	0.0041	2	2.4284	F_traH;F_traF	NA
k121_2104855	1033	No terminal repeats	3	11	0.9763	0.0055	2	2.3593	F_traW	NA
k121_2510191	1252	No terminal repeats	2	11	0.9700	0.0071	2	2.4245	virb4;F_traV	NA
k121_2385082	1807	No terminal repeats	4	11	0.9693	0.0086	2	2.6620	NA	NA
k121_2221733	1494	No terminal repeats	3	11	0.9611	0.0104	3	3.7006	F_traU;F_traW	NA
k121_1562054	1052	No terminal repeats	2	11	0.9588	0.0121	1	1.6987	NA	NA
k121_1897212	1978	No terminal repeats	3	11	0.9493	0.0141	1	3.4326	NA	NA
k121_1666421	1189	No terminal repeats	2	11	0.9438	0.0162	2	2.3303	F_traU;F_traW	NA
k121_2637747	1431	No terminal repeats	3	11	0.9286	0.0188	2	2.9941	F_traV;virb4	NA
k121_1539558	3133	No terminal repeats	2	11	0.9268	0.0213	2	2.4668	F_traH;F_traG	NA
k121_1304113	1212	No terminal repeats	3	11	0.9230	0.0237	3	3.9624	F_traL;F_traE	NA
k121_2509418	2499	No terminal repeats	3	11	0.9146	0.0263	2	2.2092	T_virB6;T_virB9	NA
k121_799781	2976	No terminal repeats	3	11	0.9137	0.0287	2	2.2769	F_trbC;F_traW	NA
k121_1655976	1376	No terminal repeats	2	11	0.9118	0.0310	1	1.8444	NA	NA
k121_823967	1170	No terminal repeats	2	11	0.8965	0.0337	2	2.3303	F_traW;F_traU	NA
k121_524291	4600	No terminal repeats	6	11	0.8809	0.0367	2	3.5638	virb4;F_traV	NA
k121_100646	3601	No terminal repeats	3	11	0.8752	0.0398	3	3.0630	G_tfc7;t4cp1	NA
k121_993332	2510	No terminal repeats	2	11	0.8672	0.0429	2	2.1710	virb4;T_virB3	NA
k121_2591725	2192	No terminal repeats	5	11	0.8470	0.0464	3	3.4677	F_traW;F_traU	NA
k121_40125	1433	No terminal repeats	3	11	0.8390	0.0500	2	2.3225	T_virB3	NA
