seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_582226	4969	DTR	5	11	0.9988	0.0012	1	3.8909	NA	NA
k121_581746	3256	DTR	4	11	0.9988	0.0012	1	2.4993	NA	NA
k121_333358	4250	No terminal repeats	7	11	0.9988	0.0012	1	3.0875	NA	NA
k121_332283	6341	No terminal repeats	10	11	0.9987	0.0012	2	3.3668	MOBP1	NA
k121_39842	2326	No terminal repeats	5	11	0.9987	0.0013	2	5.0560	F_traL	NA
k121_511328	4650	DTR	6	11	0.9986	0.0013	1	2.5314	NA	NA
k121_583650	4774	DTR	8	11	0.9985	0.0013	1	2.5626	NA	NA
k121_578676	3577	No terminal repeats	5	11	0.9947	0.0018	3	4.6558	T_virB2;T_virB3;virb4	NF033068
k121_203084	1436	No terminal repeats	4	11	0.9907	0.0026	1	2.2753	NA	NA
k121_6698	1788	No terminal repeats	2	11	0.9889	0.0035	1	1.7137	NA	NA
k121_113161	3732	No terminal repeats	9	11	0.9411	0.0085	1	3.9613	NA	NA
k121_531809	1632	No terminal repeats	3	11	0.9232	0.0142	1	2.1676	NA	NA
k121_41402	2980	No terminal repeats	3	11	0.9149	0.0197	2	2.5200	virb4;T_virB6	NA
k121_104398	5065	No terminal repeats	5	11	0.8999	0.0254	1	2.3719	NA	NA
k121_234218	2234	No terminal repeats	3	11	0.8435	0.0341	1	2.0818	T_virB9	NA
