seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_791814	1249	No terminal repeats	3	11	0.9989	0.0011	3	4.9288	F_traL;F_traE	NA
k121_1476298	1425	No terminal repeats	1	11	0.9989	0.0011	1	1.7183	NA	NA
k121_922333	1098	No terminal repeats	3	11	0.9988	0.0011	3	4.5753	F_traE;F_traL	NA
k121_1032789	4900	No terminal repeats	5	11	0.9986	0.0012	2	5.2620	C_alr7211;C_alr7210;C_alr7209;C_alr7208	NA
k121_911790	1188	No terminal repeats	2	11	0.9984	0.0013	2	2.0059	T_virB9;T_virB10	NA
k121_597974	1347	No terminal repeats	2	11	0.9982	0.0014	2	2.3303	F_traW;F_traU	NA
k121_156987	2539	No terminal repeats	4	11	0.9980	0.0014	1	2.3538	NA	NA
k121_589848	2743	No terminal repeats	4	11	0.9978	0.0015	4	5.0405	F_trbC;F_traU;F_traW	NA
k121_897245	1695	No terminal repeats	3	11	0.9977	0.0016	1	2.7146	NA	NA
k121_722716	1094	No terminal repeats	1	11	0.9977	0.0017	1	1.7183	NA	NA
k121_1126533	1055	No terminal repeats	2	11	0.9972	0.0018	2	2.3930	C_alr7210;C_alr7209	NA
k121_1458296	2246	No terminal repeats	3	11	0.9968	0.0019	3	3.5812	F_traH;F_traF;F_trbC	NA
k121_750986	3669	No terminal repeats	6	11	0.9960	0.0021	1	2.7143	MOBP1	NA
k121_1412004	1861	No terminal repeats	2	11	0.9945	0.0023	1	2.3161	virb4;C_alr7207	NA
k121_833191	13818	No terminal repeats	15	11	0.9936	0.0026	9	8.2677	T_virB2;T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
k121_821154	1058	No terminal repeats	4	11	0.9902	0.0030	2	2.2801	T_virB2;T_virB3	NA
k121_178023	1296	No terminal repeats	4	11	0.9867	0.0036	3	3.4286	T_virB2;T_virB3;T_virB2	NA
k121_10544	3177	No terminal repeats	3	11	0.9825	0.0044	1	2.3060	C_alr7212;t4cp1	NA
k121_692012	1109	No terminal repeats	2	11	0.9816	0.0051	2	2.1119	T_virB10	NA
k121_1510346	3452	No terminal repeats	5	11	0.9811	0.0058	3	3.2915	T_virB3;virb4	NA
k121_138956	2083	No terminal repeats	4	11	0.9659	0.0072	2	2.2801	T_virB3;T_virB2	NA
k121_1172013	1333	No terminal repeats	2	11	0.9616	0.0086	2	2.0261	T_virB8;T_virB9	NA
k121_1239970	1272	No terminal repeats	2	11	0.9592	0.0100	2	2.1659	T_virB6;T_virB8	NA
k121_471713	14495	No terminal repeats	15	11	0.9524	0.0116	3	2.0917	virb4;T_virB3	NA
k121_634251	1304	No terminal repeats	2	11	0.9503	0.0131	2	1.9515	T_virB10;T_virB9	NA
k121_714813	2649	No terminal repeats	4	11	0.9450	0.0147	1	2.3994	NA	NA
k121_982817	1414	No terminal repeats	3	11	0.9424	0.0163	2	2.2057	T_virB6;T_virB9	NA
k121_779665	1122	No terminal repeats	3	11	0.9413	0.0178	2	2.2801	T_virB2;T_virB3	NA
k121_174120	4258	No terminal repeats	5	11	0.8902	0.0210	1	2.3993	T_virB10	NA
k121_542231	1107	No terminal repeats	2	11	0.8789	0.0243	1	1.5405	NA	NA
k121_1056060	3007	No terminal repeats	6	11	0.8480	0.0284	1	1.5203	NA	NF000496
k121_1475785	6433	No terminal repeats	9	11	0.8225	0.0331	3	5.1316	T_virB1;T_virB10;T_virB9	NA
