seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_359059	1015	No terminal repeats	2	11	0.9988	0.0012	2	3.2146	MOBP1	NA
k121_718359	1547	No terminal repeats	4	11	0.9987	0.0013	3	4.1500	F_traW	NA
k121_2255676	2675	No terminal repeats	3	11	0.9986	0.0013	3	3.7548	F_traF;F_traH;F_traG	NA
k121_1329371	11771	No terminal repeats	13	11	0.9986	0.0013	2	3.7532	NA	NA
k121_2489513	6707	No terminal repeats	9	11	0.9983	0.0014	1	4.0829	NA	NA
k121_501581	2901	No terminal repeats	4	11	0.9979	0.0015	3	3.2107	T_virB10;T_virB9;T_virB6	NA
k121_809547	1108	No terminal repeats	2	11	0.9976	0.0016	1	2.8615	F_trbC	NA
k121_1145473	1343	No terminal repeats	2	11	0.9968	0.0018	1	2.8615	F_trbC	NA
k121_2042514	2408	No terminal repeats	4	11	0.9966	0.0020	1	2.2753	NA	NA
k121_576026	5557	No terminal repeats	6	11	0.9943	0.0024	3	3.7917	t4cp1;G_tfc7	NA
k121_1168844	2891	No terminal repeats	4	11	0.9936	0.0027	4	5.0806	F_traB;F_traK;F_traE;F_traL	NA
k121_1697360	2066	No terminal repeats	3	11	0.9894	0.0034	3	3.7272	F_traK;F_traE	NA
k121_2454871	2518	No terminal repeats	3	11	0.9889	0.0040	3	3.6934	F_traG;F_traH;F_traF	NA
k121_2335457	1325	No terminal repeats	1	11	0.9882	0.0046	1	1.5023	NA	NA
k121_119350	1404	No terminal repeats	4	11	0.9864	0.0052	1	2.8619	F_trbC	NA
k121_1769246	2203	No terminal repeats	2	11	0.9825	0.0059	2	2.1742	T_virB6;virb4	NA
k121_2547574	1335	No terminal repeats	2	11	0.9776	0.0069	2	2.3303	F_traU;F_traW	NA
k121_2264470	1698	No terminal repeats	3	11	0.9689	0.0082	1	2.8615	F_trbC	NA
k121_1961950	2357	No terminal repeats	7	11	0.9685	0.0095	1	1.7894	NA	NA
k121_2132565	2352	No terminal repeats	5	11	0.9656	0.0107	3	3.4677	F_traW;F_traU	NA
k121_585665	1654	No terminal repeats	2	11	0.9602	0.0121	2	2.0341	G_tfc7;t4cp1	NA
k121_2331236	1834	No terminal repeats	3	11	0.9507	0.0138	2	2.5463	F_trbC;F_traU	NA
k121_2469554	1024	No terminal repeats	1	11	0.9407	0.0158	1	1.5748	NA	NA
k121_119241	1667	No terminal repeats	4	11	0.9386	0.0177	2	2.3192	T_virB3	NA
k121_2309567	2845	No terminal repeats	3	11	0.9364	0.0195	2	2.3303	F_traU;F_traW	NA
k121_1085254	1204	No terminal repeats	2	11	0.9346	0.0213	2	2.4284	F_traF;F_traH	NA
k121_1425066	1550	No terminal repeats	3	11	0.9343	0.0229	2	2.5240	F_traE;F_traK	NA
k121_618066	3521	No terminal repeats	4	11	0.9017	0.0256	1	1.5023	NA	NA
k121_44238	5676	No terminal repeats	6	11	0.8820	0.0288	1	1.9913	NA	NA
k121_708135	1592	No terminal repeats	2	11	0.8719	0.0321	2	2.0341	t4cp1;G_tfc7	NA
k121_320348	1316	No terminal repeats	3	11	0.8303	0.0365	3	3.8968	F_traL	NA
