seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1600306	3229	No terminal repeats	4	11	0.9988	0.0012	3	6.1272	T_virB2;T_virB3;virb4	NA
k121_833324	1486	No terminal repeats	3	11	0.9987	0.0013	3	4.4024	F_traE;F_traK	NA
k121_561952	1737	No terminal repeats	2	11	0.9987	0.0013	1	1.7183	NA	NA
k121_688269	4578	No terminal repeats	3	11	0.9986	0.0013	1	2.9608	F_traG	NA
k121_610759	2499	No terminal repeats	4	11	0.9985	0.0013	3	3.9159	T_virB8;T_virB5;T_virB6	NA
k121_993929	1987	No terminal repeats	4	11	0.9985	0.0014	1	3.2865	NA	NA
k121_943759	1404	No terminal repeats	4	11	0.9984	0.0014	3	4.9288	F_traL;F_traE	NA
k121_451150	3893	No terminal repeats	3	11	0.9973	0.0016	1	1.5486	NA	NA
k121_1598580	16239	No terminal repeats	15	11	0.9968	0.0017	1	5.1962	NA	NA
k121_1060547	1544	No terminal repeats	2	11	0.9962	0.0019	2	3.1565	MOBP1	NA
k121_1335626	18413	No terminal repeats	19	11	0.9937	0.0023	8	3.3017	T_virB3;virb4;T_virB6;T_virB8;T_virB9;T_virB10;T_virB11	NA
k121_1446814	1428	No terminal repeats	1	11	0.9932	0.0027	1	1.5303	NA	NA
k121_1072771	6086	No terminal repeats	6	11	0.9932	0.0030	1	3.4696	NA	NA
k121_1961234	1009	No terminal repeats	2	11	0.9929	0.0033	1	2.2459	F_traV	NA
k121_488249	1467	No terminal repeats	2	11	0.9899	0.0038	2	2.6356	T_virB6;T_virB5	NA
k121_972411	1242	No terminal repeats	4	11	0.9896	0.0042	1	2.2753	NA	NA
k121_1720716	2389	No terminal repeats	4	11	0.9788	0.0052	2	2.8901	MOBP1	NA
k121_811504	1209	No terminal repeats	2	11	0.9657	0.0068	2	2.3083	T_virB9;T_virB8	NA
k121_458222	1394	No terminal repeats	4	11	0.9346	0.0099	1	2.7416	NA	NA
k121_473430	3868	No terminal repeats	4	11	0.9294	0.0129	1	1.5314	NA	NA
k121_760414	1462	No terminal repeats	4	11	0.9119	0.0165	1	1.7894	NA	NA
k121_1132029	1980	No terminal repeats	2	11	0.8697	0.0217	1	1.5023	NA	NA
