TermID,Name,Value,LogSize,Frequency,Uniqueness,Dispensability,PC_0,PC_1,Representative
GO:0006310,DNA recombination,1583,5.697388903585554,1.6570433606239807,0.7721997577877772,0,7.437853572696466,3.2193228946703485,null
GO:0015074,DNA integration,1301,5.408253536802356,0.8515255461322639,0.7855975755330848,0.60489159,null,null,6310
GO:0006260,DNA replication,1183,5.637632802972698,1.444034747678592,0.7751059315407032,0.6432088,null,null,6310
GO:0006355,regulation of DNA-templated transcription,595,6.476702827628594,9.968929480711344,0.9530307016379788,0.57418407,null,null,45892
GO:0006270,DNA replication initiation,473,4.560062129651679,0.12078027409857843,0.8154432695737927,0.49569685,7.448326952298265,4.154701161277064,null
GO:0006281,DNA repair,386,5.862949682520338,2.426023079968835,0.7181324910455491,0.68588719,null,null,6310
GO:0006508,proteolysis,379,6.206468852551757,5.350747086797883,0.806586452,0.45001963,7.4129935625785395,-2.482531252,null
GO:0055085,transmembrane transport,297,6.609527179077396,13.53545668727302,0.9145981614618633,0.54717392,null,null,71705
GO:0016998,cell wall macromolecule catabolic process,256,4.614137590858977,0.13679583423805447,0.8385661060921106,0.11050444,1.3940583526968873,-5.385455804,null
GO:0006313,DNA transposition,253,5.081379716630826,0.40116400359333954,0.7989438327542737,0.55755903,null,null,6310
GO:0006276,plasmid maintenance,230,3.050379756261458,0.003731975,0.9923424834304982,0.00683766,1.7182236935867696,-7.556565614,null
GO:0006306,DNA methylation,218,4.734415753081919,0.18044862993285904,0.7741598449872709,0.51479998,null,null,6310
GO:0009253,peptidoglycan catabolic process,214,4.6331653536839035,0.1429226591138416,0.7618967369489452,0.55943279,null,null,16998
GO:0000160,phosphorelay signal transduction system,160,5.876423388797577,2.5024686913261722,0.9075044120706548,0.01255158,-2.339593726,2.100323881953516,null
GO:0009058,biosynthetic process,106,6.928894185470589,28.23839282673206,0.9411220793346248,0.06231395,0.14595907281783593,7.462616580532554,null
GO:0006412,translation,104,6.184402940776566,5.085673767131161,0.6748366341807664,0.68112387,null,null,6396
GO:0007165,signal transduction,96,6.388453966952047,8.135788134528843,0.8953698755496134,0.79100692,null,null,160
GO:0006032,chitin catabolic process,91,4.254040257561709,0.059698291,0.7740651839153339,0.88298673,null,null,16998
GO:0005975,carbohydrate metabolic process,86,6.220115151808519,5.521546466478484,0.9207178548523137,0.09441481,3.890135013508355,7.7338144192920195,null
GO:0006231,dTMP biosynthetic process,86,4.121264305229581,0.043972109,0.710580783,0.18621752,5.3167695375986685,0.26046416352606094,null
GO:0006457,protein folding,86,5.502977151016975,1.0590625918025878,0.9881413255509953,0.01130353,-3.472265647,-5.372980891,null
GO:0000723,telomere maintenance,81,4.570764700328436,0.1237937938257571,0.7802732423191713,0.49682855,7.614704064380676,3.9636343705279127,null
GO:0032775,DNA methylation on adenine,74,4.383150853896175,0.080367178,0.7871351709251969,0.93813952,null,null,6310
GO:0006259,DNA metabolic process,68,6.241746897108298,5.803533415077551,0.7712527370478672,0.4571446,7.698159076984187,2.288963618,null
GO:0018142,protein-DNA covalent cross-linking,68,3.994932736730042,0.032872643999676425,0.8507059961772042,0.09750467,7.191030338569432,-4.604876195,null
GO:0006139,nucleobase-containing compound metabolic process,64,6.851645187818115,23.636924490908086,0.7718678548045945,0.35376162,6.646039409841009,3.414892139251519,null
GO:0006302,double-strand break repair,57,4.912238003405434,0.27175561672180143,0.7668582357812297,0.73773091,null,null,6310
GO:0006352,DNA-templated transcription initiation,56,5.396730988694845,0.8292301568041418,0.7423770871769083,0.30741633,6.667784332815799,1.5925716691677023,null
GO:0006694,steroid biosynthetic process,53,4.6462468420953265,0.14729326057246497,0.7993779338416473,0.23286428,5.876636500387393,2.546256461543522,null
GO:0006275,regulation of DNA replication,52,4.510973731348933,0.10787136674628214,0.9659839736689074,0.24050281,-2.571183674,-0.395783469,null
GO:0019068,virion assembly,50,4.093631776828947,0.041261271761204706,0.9687396736961672,0,-2.429311767,-5.008787055,null
GO:0006468,protein phosphorylation,49,6.115633473764006,4.340892012483024,0.7241507496175235,0.40630741,6.453786438533718,-3.09602772,null
GO:0006351,DNA-templated transcription,46,6.329375706383542,7.101029945,0.6830522943564531,0.65411801,null,null,6352
GO:0006465,signal peptide processing,43,4.591654401424626,0.1298940092558296,0.8112039474424277,0.18609632,8.192020451746728,-2.71118969,null
GO:0002100,tRNA wobble adenosine to inosine editing,42,4.021478732257528,0.034944854584701056,0.7867027368998916,0.28838692,8.675413937708228,-0.547396826,null
GO:0019069,viral capsid assembly,41,3.559068334034537,0.012047427,0.9705866715694127,0.78876692,null,null,19068
GO:0051276,chromosome organization,40,5.5678788176138525,1.2297688384231882,0.9337378176324725,0.58086685,null,null,723
GO:0009394,2'-deoxyribonucleotide metabolic process,37,4.646286068440645,0.14730656529532227,0.7268312427979577,0.8961896,null,null,6231
GO:0006304,DNA modification,37,5.0076581795239585,0.33853202074259514,0.7755365826110762,0.54788982,null,null,6310
GO:0005976,polysaccharide metabolic process,32,5.526004379634945,1.1167319130275588,0.8543263491613362,0.13749988,1.6766622489814935,4.155588376452854,null
