TermID,Name,Value,LogSize,Frequency,Uniqueness,Dispensability,PC_0,PC_1,Representative
GO:0006355,regulation of DNA-templated transcription,10243,6.476702828,9.968929481,0.954536394,0.57418407,null,null,45892
GO:0055085,transmembrane transport,9299,6.609527179,13.53545669,0.896053112,0.54717392,null,null,71705
GO:0006310,DNA recombination,4052,5.697388904,1.657043361,0.793403965,0,5.901603225,-4.155611067,null
GO:0015074,DNA integration,3897,5.408253537,0.851525546,0.805518434,0.60489159,null,null,6310
GO:0006313,DNA transposition,3202,5.081379717,0.401164004,0.817583333,0.55755903,null,null,6310
GO:0006260,DNA replication,2082,5.637632803,1.444034748,0.796032173,0.6432088,null,null,6310
GO:0000160,phosphorelay signal transduction system,2030,5.876423389,2.502468691,0.909615932,0.01255158,-0.194533303,5.804053222,null
GO:0005975,carbohydrate metabolic process,1556,6.220115152,5.521546466,0.925981092,0.09441481,2.436891803,-8.039964871,null
GO:0006508,proteolysis,1551,6.206468853,5.350747087,0.81933544,0.45001963,7.490955637,0.180628526,null
GO:0006725,cellular aromatic compound metabolic process,1432,6.899827722,26.4103106,0.889973725,0.13251149,-0.531675119,-1.462979126,null
GO:0007165,signal transduction,1234,6.388453967,8.135788135,0.897885836,0.79100692,null,null,160
GO:0006270,DNA replication initiation,1156,4.56006213,0.120780274,0.831335626,0.49569685,6.380296511,-4.882446408,null
GO:0009058,biosynthetic process,1156,6.928894185,28.23839283,0.94521855,0.06231395,-3.46192035,-0.059943834,null
GO:0006306,DNA methylation,715,4.734415753,0.18044863,0.796459762,0.51479998,null,null,6310
GO:0006276,plasmid maintenance,682,3.050379756,0.003731975,0.992436277,0.00683766,-5.265928724,3.395161615,null
GO:0006281,DNA repair,628,5.862949683,2.42602308,0.737671497,0.68588719,null,null,6310
GO:0006694,steroid biosynthetic process,503,4.646246842,0.147293261,0.809890831,0.17790859,4.79888921,-4.384260813,null
GO:0006352,DNA-templated transcription initiation,489,5.396730989,0.829230157,0.760086399,0.30153001,5.897440168,-3.223945722,null
GO:0015833,peptide transport,473,4.991483031,0.326155302,0.900576285,0,-0.668597268,-6.696422513,null
GO:0006304,DNA modification,450,5.00765818,0.338532021,0.798473576,0.54788982,null,null,6310
GO:0006807,nitrogen compound metabolic process,447,7.166808942,48.83764952,0.939782732,0.14874469,-2.911797471,-1.053196476,null
GO:0044237,cellular metabolic process,410,7.170242847,49.22533251,0.935036939,0.20673508,-2.351594201,-0.051740543,null
GO:0019684,"photosynthesis, light reaction",406,4.431428099,0.089816858,0.913293697,0.06475252,-4.702995463,2.328045428,null
GO:0030255,protein secretion by the type IV secretion system,400,3.499549626,0.010504079,0.907337911,0.38915974,-0.147612533,-6.848131341,null
GO:0006418,tRNA aminoacylation for protein translation,341,5.466756439,0.97431816,0.643336804,0.3670708,5.917483178,-1.14789591,null
GO:0006468,protein phosphorylation,339,6.115633474,4.340892012,0.744638738,0.16329428,6.582485147,1.254959574,null
GO:0006465,signal peptide processing,314,4.591654401,0.129894009,0.818691457,0.48996763,7.397294035,1.4632954,null
GO:0006629,lipid metabolic process,313,6.136890765,4.558650411,0.927587672,0.07860576,3.045720373,-8.086088694,null
GO:0030638,polyketide metabolic process,309,4.163906433,0.04850902,0.946980192,0.03703311,-4.877712527,-3.372342747,null
GO:0005976,polysaccharide metabolic process,284,5.52600438,1.116731913,0.860207744,0.13749988,4.916815581,-7.268921967,null
GO:0006631,fatty acid metabolic process,252,5.50943507,1.074928474,0.756187918,0.53329503,null,null,6694
GO:0019634,organic phosphonate metabolic process,238,3.992597696,0.032696356,0.887468226,0.31535423,4.799007512,4.770708784,null
GO:0009306,protein secretion,238,5.023918827,0.35144758,0.883541159,0.76023529,null,null,30255
GO:0019439,aromatic compound catabolic process,234,5.572080094,1.241723132,0.790724921,0.23084159,3.83019387,-3.259171384,null
GO:0006812,monoatomic cation transport,232,6.015285131,3.445327834,0.901406709,0.30336509,-1.405246689,-6.43710808,null
GO:0006865,amino acid transport,230,5.263216956,0.609762101,0.889866162,0.53515853,null,null,15833
GO:0045893,positive regulation of DNA-templated transcription,220,5.337678849,0.723806859,0.963250592,0.29363674,1.659833449,6.503993029,null
GO:0006302,double-strand break repair,211,4.912238003,0.271755617,0.782743288,0.73773091,null,null,6310
GO:0046688,response to copper ion,199,3.777354313,0.01991717,0.95808142,0.26823695,-2.074228723,4.756637462,null
GO:0019346,transsulfuration,190,4.540241856,0.115391861,0.784163603,0.48226612,3.436198951,0.607443745,null
GO:0015940,pantothenate biosynthetic process,188,4.503218508,0.105962139,0.719865809,0.61972198,null,null,6694
GO:0006974,DNA damage response,179,5.894540353,2.609069457,0.91909766,0.90989858,null,null,6310
GO:0018142,protein-DNA covalent cross-linking,179,3.994932737,0.032872644,0.863265314,0.40630741,8.475116693,1.596313154,null
GO:0043039,tRNA aminoacylation,173,5.477419368,0.998536081,0.692173085,0.98723772,null,null,6418
GO:0071704,organic substance metabolic process,172,7.248368295,58.92697011,0.937618249,0.23810488,-2.308413871,-0.541480307,null
GO:1901135,carbohydrate derivative metabolic process,171,6.285321871,6.416046267,0.937499233,0.07347222,-4.493125176,-2.296538374,null
GO:0008610,lipid biosynthetic process,165,5.915149107,2.735863466,0.828653275,0.72491311,null,null,6694
GO:0006265,DNA topological change,163,4.838395677,0.229263658,0.7899045,0.52690987,null,null,6310
GO:0006520,amino acid metabolic process,160,6.21566426,5.465247532,0.734535924,0.6913116,null,null,6418
GO:0030001,metal ion transport,158,5.796416127,2.081427432,0.903759413,0.82473607,null,null,6812
GO:0015703,chromate transport,157,4.012373167,0.034219747,0.937000803,0.20128247,-2.088907882,-5.913094244,null
GO:0045892,negative regulation of DNA-templated transcription,156,5.339554785,0.726940121,0.958486767,0.42138491,1.486955911,6.481011568,null
GO:0001558,regulation of cell growth,154,4.272908613,0.062349257,0.969498286,0.228591,0.937778631,7.048895704,null
GO:0006096,glycolytic process,148,5.209225388,0.538478722,0.724112962,0.72297619,null,null,6694
GO:0006366,transcription by RNA polymerase II,142,4.962781175,0.305296823,0.77907011,0.46430406,6.147071452,-3.384588172,null
GO:0006384,transcription initiation at RNA polymerase III promoter,142,3.979775933,0.031745069,0.811513429,0.38250102,6.690508824,-3.826461171,null
GO:0006396,RNA processing,139,6.086076735,4.055292832,0.765841331,0.53749555,null,null,6418
GO:0016114,terpenoid biosynthetic process,139,4.962762249,0.305283518,0.832667197,0.64120442,null,null,6694
GO:0006094,gluconeogenesis,132,4.865127674,0.243819025,0.758939511,0.52069479,null,null,5976
GO:0006099,tricarboxylic acid cycle,132,5.211155262,0.540876898,0.897971444,0.57919152,null,null,19684
GO:0019752,carboxylic acid metabolic process,124,6.413441264,8.61761202,0.755384357,0.82941928,null,null,6418
GO:0030244,cellulose biosynthetic process,123,4.054536453,0.037708911,0.831550505,0.66198182,null,null,5976
GO:0009086,methionine biosynthetic process,122,4.99793655,0.331038136,0.72653814,0.81138388,null,null,19346
GO:0006401,RNA catabolic process,122,5.117751737,0.436208644,0.747567678,0.70435755,null,null,19439
GO:0009772,photosynthetic electron transport in photosystem II,122,3.565847819,0.012237019,0.923141838,0.75606328,null,null,19684
GO:1902208,regulation of bacterial-type flagellum assembly,119,3.679064318,0.015882513,0.970043987,0.59491352,null,null,1558
GO:0001522,pseudouridine synthesis,116,5.003774937,0.335518501,0.799361213,0.44891187,7.379458351,-2.828093785,null
GO:0009451,RNA modification,116,5.789904902,2.050454037,0.774182071,0.56459666,null,null,6468
GO:0009231,riboflavin biosynthetic process,114,4.820602061,0.220060116,0.744072615,0.67415942,null,null,6694
GO:0006537,glutamate biosynthetic process,113,4.293671866,0.065402691,0.734021662,0.45937856,4.998345334,-0.698607658,null
GO:0019441,tryptophan catabolic process to kynurenine,113,4.345334515,0.073664924,0.702379765,0.71539599,null,null,19439
GO:0006481,C-terminal protein methylation,111,3.772761647,0.019707621,0.858831349,0.57638709,null,null,6310
GO:0008654,phospholipid biosynthetic process,111,5.552614686,1.187296837,0.765640206,0.73833136,null,null,6694
GO:0044780,bacterial-type flagellum assembly,109,4.543583846,0.116283278,0.935876762,0.00900357,-1.492087901,-2.984533876,null
GO:0009312,oligosaccharide biosynthetic process,107,4.51200361,0.108127483,0.845365161,0.71626603,null,null,5976
GO:0000723,telomere maintenance,107,4.5707647,0.123793794,0.799751979,0.68025865,null,null,6310
GO:0009307,DNA restriction-modification system,107,4.68261433,0.160158928,0.76006308,0.88896725,null,null,6310
GO:0046168,glycerol-3-phosphate catabolic process,107,4.151982395,0.047195178,0.80613653,0.43723,5.214549363,4.442718915,null
GO:0043571,maintenance of CRISPR repeat elements,103,4.132291716,0.04510301,0.813636838,0.63042306,null,null,6310
GO:0046653,tetrahydrofolate metabolic process,102,4.997788161,0.330925045,0.829141007,0.7880166,null,null,6694
GO:0006979,response to oxidative stress,102,5.234919503,0.571298147,0.943807845,0.3699314,-1.698694351,5.379187602,null
GO:0006412,translation,99,6.184402941,5.085673767,0.686981177,0.73614311,null,null,6418
GO:0006284,base-excision repair,98,4.924666876,0.279645317,0.782253779,0.73993057,null,null,6310
GO:0015774,polysaccharide transport,98,4.117105503,0.04355301,0.915024878,0.39099982,-0.141443931,-7.115267575,null
GO:0015995,chlorophyll biosynthetic process,95,4.158573556,0.047916959,0.798501886,0.23427676,6.602867111,-2.502351225,null
GO:0015979,photosynthesis,94,4.841265593,0.230783723,0.933976582,0.07076019,-4.939866835,-4.855989903,null
GO:0009072,aromatic amino acid metabolic process,89,5.338412664,0.725030894,0.742811037,0.57500067,null,null,6418
