gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_405911_1	119	517	399	1	0.627	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_405911_2	514	879	366	1	0.628	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_405911_3	934	1815	882	1	0.660	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_405911_4	1812	3572	1761	1	0.625	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_628928_1	319	669	351	-1	0.464	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_628928_2	1001	1312	312	1	0.429	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_628928_3	1549	2598	1050	1	0.467	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_244071_1	3	137	135	-1	0.637	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_244071_2	217	477	261	1	0.571	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_244071_3	1314	2924	1611	1	0.603	11	AGxAGG/AGGxGG	GENOMAD.166182.PC	0.0001523	47	0	0	0	1	NA	NA	NA	PF00496;TIGR04028;COG4166;K13889	ABC transporter substrate binding protein, KPN_01854 family
k121_244071_4	3032	3988	957	1	0.607	11	None	GENOMAD.121868.CP	4.912e-08	57	0	0	0	1	NA	NA	NA	PF00528;K15581;TIGR02789;COG0601	nickel ABC transporter, permease subunit NikB
k121_244071_5	3985	4869	885	1	0.612	11	AGxAG	GENOMAD.147246.CP	0.0001165	46	0	0	0	1	NA	NA	NA	PF00528;COG4239;K15582	ABC-type microcin C transport system, permease component YejE
k121_244071_6	4866	6407	1542	1	0.633	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_224103_1	13	1113	1101	1	0.270	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_224103_2	1864	2073	210	1	0.276	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_224103_3	2070	2225	156	1	0.288	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_224103_4	2375	2509	135	-1	0.281	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_122993_1	2	598	597	-1	0.685	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_122993_2	895	1509	615	-1	0.709	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_122993_3	1714	2241	528	-1	0.674	11	None	GENOMAD.211284.PC	5.654e-12	66	0	0	0	1	NA	NA	NA	NA	NA
k121_122993_4	2371	2610	240	-1	0.683	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_122993_5	2603	3085	483	-1	0.675	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_569357_1	124	1338	1215	-1	0.612	11	GGA/GAG/AGG	GENOMAD.183012.PC	2.526e-199	620	0	0	0	1	NA	NA	NA	PF04733;COG4715	Uncharacterized conserved protein, contains Zn finger domain
k121_569357_2	1356	1742	387	-1	0.625	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_569357_3	1739	2059	321	-1	0.564	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_569357_4	2263	2553	291	1	0.598	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_569357_5	2550	2822	273	-1	0.495	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_447684_1	2	469	468	1	0.515	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_447684_2	466	633	168	1	0.476	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_447684_3	692	952	261	1	0.429	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_447684_4	1030	1704	675	1	0.439	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_447684_5	1697	2692	996	1	0.444	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_426601_1	3	428	426	1	0.643	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_426601_2	432	1394	963	1	0.612	11	None	GENOMAD.223758.PV	4.524e-14	76	0	0	0	1	NA	NA	NA	PF03567;K07779	Sulfotransferase family
k121_426601_3	1403	2365	963	1	0.628	11	GGAG/GAGG	GENOMAD.223758.PV	1.233e-17	87	0	0	0	1	NA	NA	NA	PF03567;K07779	Sulfotransferase family
k121_426601_4	2368	3324	957	1	0.623	11	None	GENOMAD.223758.PV	2.397e-16	83	0	0	0	1	NA	NA	NA	PF03567;K07779	Sulfotransferase family
k121_426601_5	3321	3539	219	1	0.644	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_286172_1	1	939	939	-1	0.503	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_286172_2	1104	2099	996	-1	0.502	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_286172_3	2275	2889	615	-1	0.512	11	GGAG/GAGG	GENOMAD.197005.PC	1.07e-05	48	0	0	0	1	NA	NA	NA	NA	NA
k121_286172_4	2903	3499	597	-1	0.497	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_286172_5	3586	3765	180	-1	0.567	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_286172_6	4298	4690	393	-1	0.478	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_286172_7	4916	5053	138	1	0.435	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_286172_8	5519	5980	462	-1	0.461	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_205212_1	3	1160	1158	1	0.379	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_205212_2	1163	2122	960	1	0.400	11	AGGAG(G)/GGAGG	GENOMAD.218118.PC	1.799e-12	71	0	0	0	1	NA	NA	NA	PF16565	Phospholipase D-like domain at C-terminus of MIT
k121_205212_3	2119	2703	585	1	0.427	11	AGxAG	GENOMAD.160560.CP	7.157e-40	148	0	0	0	1	NA	NA	NA	NA	NA
k121_205212_4	2696	4174	1479	1	0.410	11	AGGAG	GENOMAD.214535.CP	3.249e-78	273	0	0	0	1	NA	NA	NA	PF09659;TIGR02672	CRISPR type III-A/MTUBE-associated protein Csm6
k121_205212_5	4267	4548	282	1	0.532	11	GGAGG	GENOMAD.206603.PC	2.736e-22	92	0	0	0	1	NA	NA	NA	NA	NA
k121_205212_6	4568	5557	990	1	0.512	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_205212_7	5535	5840	306	1	0.487	11	None	GENOMAD.168053.CP	1.907e-29	113	0	0	0	1	NA	NA	NA	PF09827;COG1343;TIGR01573	CRISPR/Cas system-associated endoribonuclease Cas2
k121_205212_8	5915	6238	324	-1	0.503	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_42798_1	2	103	102	-1	0.676	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_42798_2	105	1571	1467	-1	0.636	11	GGA/GAG/AGG	GENOMAD.168696.PC	2.788e-08	59	0	0	0	1	NA	NA	NA	PF07368;TIGR00407;COG0014;K18601	gamma-glutamyl phosphate reductase
k121_42798_3	1692	2678	987	-1	0.600	11	AGGAG	GENOMAD.116284.PP	4.108e-182	566	0	0	0	1	NA	NA	NA	PF18191	Hydroquinone 1,2-dioxygenase large subunit N-terminal
k121_42798_4	2735	3067	333	-1	0.640	11	None	GENOMAD.120946.PP	5.196e-39	141	0	0	0	1	NA	NA	NA	K11312	NA
k121_183952_1	32	1525	1494	-1	0.672	11	None	GENOMAD.069171.PP	0.000277	46	0	1	0	1	NA	NA	NA	PF03432;K19333;COG1414;TIGR02431	DNA-binding transcriptional regulator, IclR family
k121_42827_1	2	184	183	1	0.689	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_42827_2	346	957	612	1	0.681	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_42827_3	1244	1384	141	-1	0.610	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_42827_4	1426	1593	168	1	0.643	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_42827_5	1621	1815	195	1	0.672	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_42827_6	1940	2491	552	1	0.690	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_42827_7	2488	2955	468	1	0.697	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_935662_1	1	129	129	1	0.411	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_935662_2	287	1180	894	1	0.388	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_935662_3	1365	1655	291	-1	0.481	11	None	GENOMAD.147643.PC	3.74e-28	109	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_935662_4	1643	1933	291	-1	0.491	11	None	GENOMAD.193186.PC	3.715e-05	43	0	0	0	1	NA	NA	NA	PF03693;COG3905;TIGR04563	Predicted transcriptional regulator
k121_935662_5	2124	2537	414	-1	0.353	11	None	GENOMAD.162193.PV	2.138e-19	86	0	0	0	1	NA	NA	NA	PF04645;K11686;COG4220;TIGR02043	Phage DNA packaging protein, Nu1 subunit of terminase
k121_124297_1	1	222	222	1	0.577	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_124297_2	399	1157	759	-1	0.499	11	AGxAGG/AGGxGG	GENOMAD.177338.PC	4.024e-05	47	0	0	0	1	NA	NA	NA	PF13683	Integrase core domain
k121_124297_3	1542	1946	405	-1	0.430	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_124297_4	1985	2365	381	-1	0.491	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_124297_5	2540	3265	726	1	0.468	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_124297_6	3327	3737	411	1	0.377	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_124297_7	3727	4782	1056	-1	0.427	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_124297_8	4794	5510	717	-1	0.396	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_124297_9	5697	7064	1368	1	0.425	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_124297_10	7049	8020	972	1	0.427	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_124297_11	8112	8648	537	1	0.527	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_124297_12	8862	9284	423	1	0.452	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_43129_1	168	317	150	1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_43129_2	560	730	171	1	0.632	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
