gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_358906_1	3	2510	2508	1	0.441	11	None	GENOMAD.161658.PP	3.322e-05	50	0	0	0	1	NA	NA	NA	NA	NA
k121_5996_1	251	607	357	1	0.454	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_5996_2	620	1210	591	-1	0.506	11	None	GENOMAD.170397.PP	3.556e-49	175	0	0	0	1	NA	NA	NA	PF02321;TIGR01845;COG1538	efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
k121_5996_3	1410	1841	432	-1	0.419	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_5996_4	2142	2735	594	1	0.566	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_125776_1	2	196	195	-1	0.554	11	GGAG/GAGG	GENOMAD.207282.PC	1.682e-14	68	0	0	0	1	NA	NA	NA	PF16964;COG4961;K12513;TIGR03816	Putative tight adherence pilin protein F
k121_125776_2	193	1896	1704	-1	0.608	11	GGAGG	GENOMAD.183682.CP	7.859e-70	251	0	0	0	1	NA	NA	NA	PF13400;PF04056;COG4961;K12515;TIGR03816	Flp pilus assembly protein TadG
k121_125776_3	2193	3788	1596	-1	0.605	11	GGA/GAG/AGG	GENOMAD.183682.CP	8.065e-52	196	0	0	0	1	NA	NA	NA	PF13400;PF04056;COG4961;K12515;TIGR03816	Flp pilus assembly protein TadG
k121_125776_4	4148	4543	396	1	0.586	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_209533_1	2	1006	1005	-1	0.651	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_209533_2	1055	1807	753	-1	0.575	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_209533_3	1815	2609	795	-1	0.597	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_209533_4	2590	3237	648	-1	0.593	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_209533_5	3456	4418	963	-1	0.609	11	GGAGG	GENOMAD.215203.PC	2.43e-113	367	0	0	0	1	NA	NA	NA	PF13379;TIGR01728;COG0715;K02051	ABC transporter, substrate-binding protein, aliphatic sulfonates family
k121_209533_6	4510	5196	687	-1	0.639	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_209533_7	5375	6058	684	1	0.601	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_209533_8	6243	8465	2223	1	0.621	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_209533_9	8544	9302	759	1	0.642	11	AGGAG	GENOMAD.153714.PC	0.0001734	45	0	0	0	1	NA	NA	NA	PF01557;TIGR03218;COG3971;K02554	4-oxalocrotonate decarboxylase
k121_209533_10	9321	10100	780	-1	0.599	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_209533_11	10102	10566	465	-1	0.615	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_113886_1	1	453	453	1	0.618	11	None	GENOMAD.137740.CP	2.483e-23	98	0	0	0	1	NA	NA	NA	PF03786;K03335;TIGR04379;COG3623	myo-inosose-2 dehydratase
k121_113886_2	526	1332	807	1	0.625	11	GGA/GAG/AGG	GENOMAD.167834.CP	2.063e-14	76	0	0	0	1	NA	NA	NA	PF04962;K03337;COG3718;TIGR04378	5-deoxy-D-glucuronate isomerase
k121_113886_3	1477	2142	666	-1	0.629	11	GGA/GAG/AGG	GENOMAD.179547.PC	8.26e-51	181	0	0	0	1	NA	NA	NA	PF13022;TIGR03384;COG1309;K18476	transcriptional repressor BetI
k121_113886_4	2280	2675	396	1	0.624	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_400975_1	2	922	921	-1	0.682	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_400975_2	1030	3270	2241	-1	0.604	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_305430_1	89	451	363	-1	0.523	11	4Base/6BMM	GENOMAD.095306.PP	6.51e-17	78	0	0	0	1	NA	NA	NA	NA	NA
k121_305430_2	1188	1406	219	-1	0.434	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_305430_3	1518	1964	447	-1	0.445	11	GGAG/GAGG	GENOMAD.112972.CP	1.536e-07	52	0	0	0	1	NA	NA	NA	PF00571;K04767;COG4535	Mg2+ and Co2+ transporter CorC, contains CBS pair and CorC-HlyC domains
k121_305430_4	2251	2517	267	-1	0.382	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_305430_5	2511	2591	81	-1	0.444	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_245720_1	29	310	282	1	0.578	11	AGGAG	GENOMAD.178620.PC	2.434e-08	52	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609	putative addiction module antidote protein, CC2985 family
k121_245720_2	307	657	351	1	0.530	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_245720_3	764	1003	240	1	0.525	11	GGA/GAG/AGG	GENOMAD.160466.PC	1.227e-16	75	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609;K07722	putative addiction module antidote protein, CC2985 family
k121_245720_4	1015	1329	315	1	0.556	11	None	GENOMAD.196233.PC	8.743e-39	140	0	1	0	1	NA	NA	NA	PF05016;K19093;COG3668	Plasmid stabilization system protein ParE
k121_245720_5	1515	1784	270	1	0.593	11	GGAG/GAGG	GENOMAD.195949.PC	1.035e-45	159	0	0	0	1	NA	NA	NA	PF17723;TIGR02606;COG3905	Ribbon-Helix-Helix transcriptional regulator family
k121_245720_6	1771	2139	369	1	0.599	11	AGGA	GENOMAD.177557.PC	1.676e-56	192	0	0	0	1	NA	NA	NA	PF05016;COG3668	Plasmid stabilization system protein ParE
k121_311620_1	127	384	258	1	0.388	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_311620_2	433	1071	639	1	0.455	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_311620_3	1173	1763	591	-1	0.475	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
