gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_348213_1	3	2597	2595	1	0.602	11	None	GENOMAD.215485.PC	4.39e-13	76	0	0	0	1	NA	NA	NA	NA	NA
k121_348213_2	2594	4078	1485	1	0.579	11	None	GENOMAD.215485.PC	1.681e-09	63	0	0	0	1	NA	NA	NA	NA	NA
k121_149289_1	79	483	405	1	0.716	11	None	GENOMAD.116259.PC	8.313e-11	61	0	0	0	1	NA	NA	NA	COG5569	Periplasmic Cu and Ag efflux protein CusF
k121_149289_2	504	809	306	1	0.706	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_149289_3	886	2493	1608	1	0.672	11	None	GENOMAD.101150.PP	0.0001519	47	0	0	0	1	NA	NA	NA	NA	NA
k121_464362_1	3	272	270	-1	0.500	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_464362_2	304	753	450	-1	0.560	11	GGAGG	GENOMAD.167502.CP	3.296e-08	54	0	0	0	1	NA	NA	NA	PF00582;COG0589;K14055	Nucleotide-binding universal stress protein,  UspA family
k121_464362_3	913	1560	648	-1	0.522	11	GGAG/GAGG	GENOMAD.154059.PP	3.203e-10	62	0	0	0	1	NA	NA	NA	TIGR02292	NA
k121_464362_4	1663	1875	213	-1	0.465	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_464362_5	2451	2564	114	-1	0.544	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_248961_1	2	229	228	-1	0.649	11	AGGAG	GENOMAD.133674.PC	5.066e-09	53	0	0	0	1	NA	NA	NA	PF19335;TIGR00622;COG3350	NA
k121_248961_2	394	681	288	-1	0.597	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_248961_3	647	1321	675	-1	0.533	11	AGGA	GENOMAD.153926.CP	2.969e-05	47	0	0	0	1	NA	NA	NA	PF02544;TIGR04571;COG2020	lipid A Kdo2 1-phosphate O-methyltransferase
