gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_96664_1	1	102	102	-1	0.343	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_96664_2	340	702	363	1	0.369	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_96664_3	749	1207	459	1	0.418	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_96664_4	1304	1957	654	-1	0.456	11	AGxAGG/AGGxGG	GENOMAD.161884.CP	2.026e-37	142	0	0	0	1	NA	NA	NA	PF16693;COG2823	Osmotically-inducible protein OsmY, contains BON domain
k121_96664_5	2160	2615	456	1	0.428	11	GGAG/GAGG	GENOMAD.209923.PC	0.000392	42	0	0	0	1	NA	NA	NA	PF00582;K06149;COG0589	Universal stress protein family
k121_96664_6	2697	2912	216	1	0.394	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_96664_7	2920	3141	222	-1	0.423	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_62703_1	517	1569	1053	1	0.425	11	4Base/6BMM	GENOMAD.121777.PV	1.297e-34	139	0	1	0	8016	Inoviridae	NA	NA	PF01446;COG5655	Replication protein
k121_62703_2	1639	1968	330	1	0.376	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_37362_1	1	309	309	1	0.427	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_37362_2	306	2216	1911	1	0.417	11	AGGAG	GENOMAD.193963.PC	0.0007802	45	0	0	0	1	NA	NA	NA	NA	NA
k121_37362_3	2636	3649	1014	1	0.410	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_37362_4	3712	4074	363	1	0.375	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_37362_5	4064	4363	300	1	0.427	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_37362_6	4407	4751	345	-1	0.435	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_37362_7	4711	5097	387	-1	0.424	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_31748_1	2	229	228	1	0.443	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_31748_2	219	629	411	-1	0.380	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_31748_3	691	1416	726	-1	0.468	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_31748_4	1591	1971	381	1	0.491	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_31748_5	2010	2414	405	1	0.430	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_31748_6	2799	3023	225	1	0.489	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_108662_1	1	390	390	1	0.426	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_108662_2	434	691	258	-1	0.438	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_108662_3	980	1162	183	-1	0.393	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_108662_4	1320	1574	255	-1	0.443	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_108662_5	1754	1981	228	1	0.425	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_108662_6	2115	2387	273	1	0.410	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_17884_1	71	748	678	-1	0.314	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_17884_2	799	1893	1095	-1	0.325	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_17884_3	2006	2473	468	1	0.303	11	AAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_128429_1	408	659	252	1	0.313	11	None	GENOMAD.195537.PV	3.601e-08	51	0	0	0	1	NA	NA	NA	PF20038	NA
