gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1170786_1	273	884	612	1	0.500	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1170786_2	1657	2496	840	-1	0.474	11	GGA/GAG/AGG	GENOMAD.207364.PC	2.485e-27	115	0	0	0	1	NA	NA	NA	PF06057;COG2267;TIGR03101	Lysophospholipase, alpha-beta hydrolase superfamily
k121_1170786_3	2593	3918	1326	1	0.465	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_344396_1	3	782	780	1	0.594	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_344396_2	793	1629	837	1	0.658	11	GGA/GAG/AGG	GENOMAD.159640.CP	6.652e-39	149	0	0	0	1	NA	NA	NA	PF04204;TIGR01001;K22314;COG0518	Homoserine O-succinyltransferase
k121_344396_3	1626	2423	798	-1	0.650	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_344396_4	2428	2778	351	-1	0.615	11	GGA/GAG/AGG	GENOMAD.189412.CP	6.189e-24	98	0	0	0	1	NA	NA	NA	PF08803;COG2329;K11530;TIGR03792	Heme-degrading monooxygenase HmoA and related ABM domain proteins
k121_344396_5	2783	3181	399	-1	0.642	11	GGAG/GAGG	GENOMAD.197590.PC	2.793e-31	120	0	0	0	1	NA	NA	NA	PF02982;TIGR03231;COG5517;K16320	Scytalone dehydratase
k121_344396_6	3328	4089	762	1	0.644	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_344396_7	4094	4501	408	1	0.689	11	None	GENOMAD.109730.PP	3.178e-31	120	0	0	0	1	NA	NA	NA	PF20409;COG3631;K06893;TIGR02096	Ketosteroid isomerase-related protein
k121_344396_8	4504	5292	789	1	0.657	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_344396_9	5410	6381	972	1	0.633	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_344396_10	6397	7185	789	1	0.645	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
