gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_202049_1	211	513	303	1	0.323	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_202049_2	687	995	309	1	0.385	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_202049_3	1162	1488	327	1	0.352	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_202049_4	1537	2790	1254	-1	0.396	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_64172_1	2	1375	1374	-1	0.568	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_64172_2	1376	2104	729	-1	0.575	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_64172_3	2213	2536	324	1	0.537	11	GGAG/GAGG	GENOMAD.212945.PC	1.528e-26	105	0	0	0	1	NA	NA	NA	NA	NA
k121_64172_4	2533	3966	1434	1	0.612	11	GGAG/GAGG	GENOMAD.171558.PC	8.782e-147	472	0	0	0	1	NA	NA	NA	PF02321;K15725;TIGR01845;COG1538	efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
k121_64172_5	3982	5394	1413	1	0.575	11	None	GENOMAD.197261.PC	3.076e-05	49	0	0	0	1	NA	NA	NA	K22349;COG2132	Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA)
k121_64172_6	5417	5911	495	1	0.497	11	GGAG/GAGG	GENOMAD.170370.PC	5.103e-06	48	0	0	0	1	NA	NA	NA	PF00116;COG4454;TIGR04339;K02638	Uncharacterized copper-binding protein, cupredoxin-like subfamily
k121_64172_7	6001	6420	420	1	0.457	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_64172_8	6428	6772	345	1	0.412	11	GGAG/GAGG	GENOMAD.116259.PC	7.657e-21	89	0	0	0	1	NA	NA	NA	COG5569	Periplasmic Cu and Ag efflux protein CusF
