gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_47972_1	124	1125	1002	-1	0.301	11	TATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_47972_2	1692	2000	309	-1	0.359	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_47972_3	2197	2556	360	-1	0.311	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_32232_1	3	347	345	1	0.325	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_32232_2	348	1346	999	1	0.266	11	AGxAG	GENOMAD.086833.PP	0.0001465	46	0	1	0	1	NA	NA	NA	PF02195;TIGR04285;COG1475;K03497	nucleoid occlusion protein
k121_35073_1	204	383	180	-1	0.283	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_35073_2	1455	1676	222	-1	0.302	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_35073_3	1906	2331	426	-1	0.298	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_44085_1	3	545	543	1	0.385	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_44085_2	542	1663	1122	-1	0.389	11	AATAA	GENOMAD.198233.PC	2.523e-55	201	0	0	0	1	NA	NA	NA	PF03567;COG4424	LPS sulfotransferase NodH
k121_44085_3	1720	2328	609	-1	0.429	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_44085_4	2347	2916	570	-1	0.398	11	TAA	GENOMAD.192204.PC	1.604e-14	74	0	0	0	1	NA	NA	NA	PF07884;COG4243	Vitamin K epoxide reductase family
